Timeline,olbi1,olbi2,olbi2r,olbi3,olbi3r,olbi4,olbi4r,olbi5,olbi6,olbi6r,olbi7,olbi8,olbi8r,olbi9,olbi9r,olbi10,olbi11,olbi11r,olbi12,olbi12r,olbi13,olbi14,olbi15,olbi16,olbi16r,Gender,Age,Education_level
16332,1,4,1,4,1,1,4,1,4,1,1,4,1,4,1,4,4,1,4,1,2,1,1,1,4,1,1954,2
16332,2,4,1,4,1,2,3,3,3,2,3,1,4,2,3,4,3,2,3,2,4,1,2,4,1,1,1976,6
16335,1,2,3,3,2,1,4,2,2,3,1,4,1,2,3,1,4,1,4,1,1,1,1,1,4,1,1964,2
16335,1,2,3,2,3,1,4,3,4,1,1,2,3,4,1,3,4,1,1,4,4,2,1,3,2,2,1981,2
16335,2,1,4,1,4,1,4,2,1,4,2,1,4,4,1,3,1,4,1,4,4,1,2,3,2,2,1975,5
16335,2,1,4,4,1,1,4,3,3,2,1,3,2,3,2,3,4,1,2,3,3,1,1,2,3,1,1979,2
16336,4,1,4,2,3,4,1,3,2,3,1,4,1,2,3,2,4,1,3,2,3,2,3,1,4,2,1970,2
16336,2,4,1,4,1,1,4,1,4,1,1,4,1,4,1,2,4,1,4,1,4,4,2,4,1,2,1968,5
16336,1,3,2,4,1,3,2,1,4,1,1,4,1,3,2,2,4,1,3,2,3,1,2,1,4,2,1968,5
16336,2,3,2,4,1,2,3,4,4,1,2,3,2,3,2,3,4,1,3,2,1,1,3,1,4,2,1967,4
16336,2,4,1,4,1,2,3,1,4,1,2,4,1,4,1,1,4,1,4,1,4,1,4,1,4,2,1963,4
16337,2,1,4,4,1,3,2,1,4,1,2,4,1,4,1,1,4,1,4,1,4,1,4,1,4,2,1970,2
16337,1,3,2,3,2,2,3,2,4,1,1,2,3,4,1,2,4,1,2,3,2,1,1,1,4,2,1973,5
16337,2,2,3,3,2,1,4,2,3,2,2,2,3,3,2,3,3,2,2,3,4,1,2,3,2,2,1958,5
16338,1,2,3,2,3,2,3,2,4,1,4,3,2,3,2,2,2,3,2,3,3,1,1,1,4,1,1969,2
16338,2,2,3,3,2,1,4,2,4,1,1,2,3,2,3,2,3,2,2,3,1,1,2,1,4,2,1961,5
16338,2,3,2,4,1,4,1,2,4,1,1,1,4,2,3,3,3,2,2,3,4,4,4,2,3,2,1975,4
16338,3,1,4,3,2,1,4,3,3,2,4,2,3,1,4,4,2,3,1,4,4,1,1,2,3,1,1969,5
16338,2,3,2,3,2,4,1,1,3,2,3,3,2,4,1,2,1,4,3,2,4,1,2,3,2,2,1971,5
16338,3,1,4,4,1,1,4,3,4,1,3,3,2,1,4,4,2,3,2,3,3,1,3,2,3,2,1966,5
16338,1,4,1,4,1,1,4,4,2,3,1,2,3,4,1,4,4,1,2,3,3,1,1,1,4,2, ,2
16338,1,1,4,4,1,1,4,4,3,2,2,2,3,2,3,1,2,3,1,4,4,1,3,3,2,1,1974,5
16338,3,1,4,4,1,1,4,2,4,1,4,4,1,1,4,4,3,2,1,4,4,1,4,1,4,2,1966,5
16338,4,1,4,3,2,3,2,2,4,1,2,2,3,1,4,2,3,2,3,2,4,2,3,3,2,2,1969,5
16338,4,3,2,4,1,3,2,2,4,1,1,2,3,3,2,2,4,1,2,3,2,1,3,1,4,2,1970,2
16338,4,2,3,3,2,2,3,2,4,1,3,3,2,2,3,2,3,2,3,2,4,2,2,2,3,2,1959,5
16338,2,2,3,2,3,1,4,3,3,2,1,3,2,3,2,3,3,2,2,3,2,2,2,1,4,2,1967,4
16339,2,4,1,4,1,4,1,1,4,1,1,4,1,4,1,1,4,1,4,1,4,1,2,1,4,1,1961,5
16339,2,4,1,4,1,4,1,1,3,2,1,4,1,4,1,1,4,1,4,1,3,1,2,1,4,2,1975,5
16339,1,4,1,3,2,3,2,2,4,1,1,2,3,4,1,2,4,1,4,1,4,1,1,1,4,2,1975,6
16339,2,2,3,2,3,1,4,4,2,3,4,2,3,3,2,2,2,3,2,3,2,1,2,3,2,1,1956,2
16339,2,3,2,4,1,2,3,2,3,2,4,3,2,3,2,2,3,2,3,2,4,2,3,2,3,2,1972,5
16339,3,2,3,3,2,2,3,3,3,2,2,3,2,3,2,2,3,2,3,2,2,2,2,2,3,2,1966,4
16342,1,3,2,2,3,4,1,2,1,4,3,2,3,1,4,2,2,3,3,2,4,1,3,2,3,1,1976,4
16342,2,4,1,4,1,4,1,4,4,1,1,4,1,4,1,2,4,1,4,1,3,1,4,1,4,1,1958,5
16342,3,4,1,4,1,4,1,2,4,1,1,3,2,4,1,2,4,1,3,2,1,1,1,1,4,2,1979,5
16342,3,2,3,2,3,3,2,2,3,2,3,2,3,1,4,4,3,2,2,3,4,2,2,3,2,2,1976,6
16342,3,4,1,3,2,3,2,2,3,2,3,2,3,3,2,2,3,2,3,2,4,2,3,2,3,2,1965,5
16342,2,1,4,2,3,2,3,3,3,2,2,1,4,3,2,3,2,3,2,3,3,2,2,3,2,2,1981,5
16342,1,4,1,4,1,4,1,1,4,1,1,4,1,3,2,1,4,1,4,1,4,1,3,1,4,1,1961,5
16342,1,4,1,4,1,3,2,1,4,1,1,4,1,3,2,2,4,1,3,2,2,1,1,1,4,1,1954,5
16342,2,3,2,3,2,1,4,2,3,2,2,3,2,2,3,2,3,2,3,2,3,2,2,2,3,1,1959,3
16342,1,2,3,4,1,2,3,1,4,1,1,4,1,4,1,2,4,1,3,2,3,1,2,2,3,1,1971,6
